id,key,1::English (United Kingdom),2::Dutch (Netherlands)
749,plugin_locale_ie_body,"Use the form below to Import or Export CSV with all titles. Please, do not change first row and first and second column in the CSV file.",Gebruik onderstaand formulier om een CSV-bestand met alle titels te importeren of exporteren. Wijzig de eerste rij en de eerste en tweede kolom in het CSV-bestand niet.
750,plugin_locale_lbl_id,ID:,ID:
751,plugin_locale_lbl_show_id,Show IDs,Toon ID's
752,plugin_locale_separator,Delimiter,Scheidingsteken
753,plugin_locale_separators_ARRAY_comma,Comma,Komma
754,plugin_locale_separators_ARRAY_semicolon,Semicolon,Puntkomma
755,plugin_locale_separators_ARRAY_tab,Tab,Tab
756,error_bodies_ARRAY_PAL20,The following languages have been found. Select those you want to import.,De volgende talen zijn gevonden. Selecteer de talen die u wilt importeren.
757,error_titles_ARRAY_PAL20,Import confirmation,Importbevestiging
758,error_titles_ARRAY_PAL11,Import failed,Importeren mislukt
759,error_bodies_ARRAY_PAL11,"Missing, empty or invalid parameters.","Ontbrekende, lege of ongeldige parameters."
760,error_titles_ARRAY_PAL12,Import failed,Importeren mislukt
761,error_bodies_ARRAY_PAL12,File have not been uploaded.,Het bestand is niet ge¸pload.
762,error_titles_ARRAY_PAL13,Import failed,Importeren mislukt
763,error_bodies_ARRAY_PAL13,Uploaded file cannot open for reading.,Het ge¸ploade bestand kan niet worden geopend.
764,error_titles_ARRAY_PAL14,Import failed,Importeren mislukt
765,error_bodies_ARRAY_PAL14,New line(s) have been found.,Er zijn nieuwe regels gevonden.
766,error_titles_ARRAY_PAL15,Import failed,Importeren mislukt
767,error_bodies_ARRAY_PAL15,Uploaded file doesn't contain the necessary columns.,Het ge¸ploade bestand bevat niet de benodigde kolommen.
768,error_titles_ARRAY_PAL16,Import failed,Importeren mislukt
769,error_bodies_ARRAY_PAL16,Number of columns are not equal on every row.,Het aantal kolommen is niet gelijk in elke rij.
770,error_titles_ARRAY_PAL17,Import failed,Importeren mislukt
771,error_bodies_ARRAY_PAL17,Invalid data found.,Ongeldige gegevens gevonden.
772,error_titles_ARRAY_PAL18,Import failed,Importeren mislukt
773,error_bodies_ARRAY_PAL18,Missing columns.,Ontbrekende kolommen.
774,error_titles_ARRAY_PAL19,Import failed,Importeren mislukt
775,error_bodies_ARRAY_PAL19,Invalid data found.,Ongeldige gegevens gevonden.
776,plugin_locale_showid_dialog_title,Show IDs,Toon ID's
777,plugin_locale_showid_dialog_desc,ID will be displayed next to each text found in the software. You can then search for an ID to easily change or translate the text.,Naast elke tekst in de software wordt een ID weergegeven. U kunt vervolgens op een ID zoeken om de tekst eenvoudig te wijzigen of te vertalen. 
778,plugin_locale_button_confirm,Confirm,Bevestigen
779,plugin_locale_button_cancel,Cancel,Annuleren
780,plugin_locale_default,default,Standaard
781,plugin_locale_lbl_dir,Text direction,Text richting
782,plugin_locale_lbl_fend,Front-end title,Front-end titel
783,plugin_locale_dir_ARRAY_ltr,Left to Right,Van links naar rechts
784,plugin_locale_dir_ARRAY_rtl,Right to Left,Van rechts naar links
785,plugin_locale_flag_reset_title,Reset flag,Vlag opnieuw instellen
786,plugin_locale_flag_reset_content,Are you sure you want to reset selected flag?,Weet je zeker dat je de geselecteerde vlag opnieuw wilt instellen?
787,plugin_locale_btn_reset,Reset,Opnieuw instellen
788,plugin_locale_tooltip_upload,Click to upload,Klik om te uploaden
789,plugin_locale_tooltip_reset,Click to reset,Klik om opnieuw in te stellen
790,plugin_locale_lbl_language,Language,Taal
791,plugin_locale_btn_close,Close,Sluiten
792,plugin_locale_flag_info_title,Info message,Info bericht
793,plugin_locale_error_line,The error was found at line: %s,De fout is gevonden op regel: %s
794,plugin_locale_reset_search,Reset search,Zoekopdracht opnieuw instellen
795,error_titles_ARRAY_PBU01,Backup,Back-up
796,error_titles_ARRAY_PBU02,Backup complete!,Back-up compleet
797,error_titles_ARRAY_PBU03,Backup failed!,De back-up is mislukt!
798,error_titles_ARRAY_PBU04,Backup failed!,De back-up is mislukt!
799,error_bodies_ARRAY_PBU01,We recommend you to regularly back up your database and files to prevent any loss of information.,Wij raden u aan om regelmatig een back-up te maken van uw database en bestanden om gegevensverlies te voorkomen.
800,error_bodies_ARRAY_PBU02,All backup files have been saved.,Alle back-upbestanden zijn opgeslagen.
801,error_bodies_ARRAY_PBU03,No option was selected.,Er is geen optie geselecteerd.
802,error_bodies_ARRAY_PBU04,Backup not performed.,Er is geen back-up gemaakt.
803,plugin_backup_menu_backup,Backup,Back-up
804,plugin_backup_database,Backup database,Back-up database
805,plugin_backup_files,Backup files,Back-up bestanden
806,plugin_backup_btn_backup,Backup,Back-up
807,error_titles_ARRAY_PBU05,Backup failed!,Back-up mislukt!
808,error_bodies_ARRAY_PBU05,"Backup folder not found. Please ensure that ""app/web/backup"" folder exists.","De back-upmap is niet gevonden. Zorg ervoor dat de map ""app/web/backup"" bestaat."
809,error_titles_ARRAY_PBU06,Backup failed!,Back-up mislukt!
810,error_bodies_ARRAY_PBU06,"You need to set write permissions (chmod 777) to ""app/web/backup"" folder.","Je moet schrijfrechten (chmod 777) instellen voor de map ""app/web/backup""."
811,plugin_backup_datetime,Date/time,Datum/tijd
812,plugin_backup_type,Type,Type
813,plugin_backup_file,File,Bestand
814,plugin_backup_delete_confirmation,Are you sure you want to delete selected file?,Weet je zeker dat je het geselecteerde bestand wilt verwijderen?
815,plugin_backup_delete_selected,Delete selected,Verwijder geselecteerde
816,plugin_backup_size,Size,Grootte
817,plugin_backup_sizeXXXXXX,SizeXXXX,Grootte XXXX
818,plugin_log_menu_log,Log,Logboek
819,plugin_log_menu_config,Config log,Configuratielogboek
820,plugin_log_btn_empty,Empty log,Maak logboek leeg
821,error_titles_ARRAY_PLG01,Config log updated.,Configuratielogboek vernieuwd.
822,error_bodies_ARRAY_PLG01,The config log have been updated.,Het configuratielogboek is bijgewerkt.
823,plugin_one_admin_menu_index,List,Lijst
824,plugin_one_admin_btn_add,+ Add,+ Toevoegen
825,error_titles_ARRAY_POA01,Information,Informatie
826,error_bodies_ARRAY_POA01,"Please, note that after changing the scripts in the list below you will need to refresh the page to apply the new updates in the ""One admiN"" menu.","Let op: nadat u de scripts in de onderstaande lijst hebt gewijzigd, moet u de pagina vernieuwen om de nieuwe updates in het menu ""One admiN"" toe te passen."
827,plugin_paypal_dt,Date/Time,Datum/tijd
828,plugin_paypal_mc_gross,MC Gross,MC Gross
829,plugin_paypal_mc_currency,MC Currency,MC Valuta
830,plugin_paypal_payer_email,Payer email,E-mailadres van de betaler
831,plugin_paypal_txn_type,Txn type,Txn type
832,plugin_paypal_txn_id,Txn ID,Txn ID
833,plugin_paypal_subscr_id,Subscription ID,Abonnements-ID
834,plugin_paypal_foreign_id,Foreign ID,Buitenlands-ID
835,plugin_paypal_btn_close,Close,Sluiten
836,plugin_paypal_info_title,Transaction details,Transactiegegevens
837,plugin_paypal_btn_view,View,Bekijken
838,plugin_paypal_menu_ipn,IPN,IPN
839,opt_o_paypal_client_id,Paypal Client ID,PayPal klant-ID
840,opt_o_paypal_client_secret,Paypal Client Secret,PayPal-klantgeheim
841,opt_o_paypal_cancel_url,Cancel page,Annuleer pagina
842,plugin_paypal_payment_title,PayPal payment,PayPal betaling
843,plugin_country_name,Country name,Landnaam
844,plugin_country_alpha_2,Alpha 2,Alpha 2
845,plugin_country_alpha_3,Alpha 3,Alpha 3
846,plugin_country_status,Status,Status
847,plugin_country_btn_add,Add +,Toevoegen +
848,plugin_country_statuses_ARRAY_T,Active,Aktief
849,plugin_country_statuses_ARRAY_F,Inactive,Inaktief
850,plugin_country_btn_save,Save,Opslaan
851,plugin_country_btn_cancel,Cancel,Annuleren
852,plugin_country_menu_countries,Countries,Landen
853,error_titles_ARRAY_PCY01,Country updated,Land vernieuwd!
854,error_titles_ARRAY_PCY03,Country added,Land toegevoegd!
855,error_titles_ARRAY_PCY04,Country failed to add,Land kon niet worden toegevoegd!
856,error_titles_ARRAY_PCY08,Country not found,Land kon niet worden gevonden!
857,error_titles_ARRAY_PCY10,Add country,Land toevoegen!
858,error_titles_ARRAY_PCY11,Update country,Land vernieuwd!
859,error_titles_ARRAY_PCY12,Manage countries,Land beheren
860,error_bodies_ARRAY_PCY01,Country has been updated successfully.,Het land is succesvol vernieuwd.
861,error_bodies_ARRAY_PCY03,Country has been added successfully.,Het land is succesvol toegevoegd.
862,error_bodies_ARRAY_PCY04,Country has not been added successfully.,Het land is niet succesvol toegevoegd.
863,error_bodies_ARRAY_PCY08,Country you are looking for has not been found.,"Het land dat u zoekt, is niet gevonden."
864,error_bodies_ARRAY_PCY10,Use form below to add a country.,Gebruik onderstaand formulier om een ??land toe te voegen.
865,error_bodies_ARRAY_PCY11,Use form below to update a country.,Gebruik onderstaand formulier om een ??land te vernieuwen.
866,error_bodies_ARRAY_PCY12,Use grid below to organize your country list.,Gebruik onderstaand raster om uw landenlijst te ordenen.
867,plugin_country_delete_confirmation,Are you sure you want to delete selected country?,Weet u zeker dat u het geselecteerde land wilt verwijderen?
868,plugin_country_delete_selected,Delete selected,Verwijder geselecteerde
869,plugin_country_btn_all,All,Alles
870,plugin_country_btn_search,Search,Zoeken
871,plugin_country_revert_status,Revert status,Status terugzetten
872,plugin_sms_menu_sms,SMS,SMS
873,plugin_sms_config,SMS Config,SMS-confoguratie
874,plugin_sms_number,Phone number,Telefoonnummer
875,plugin_sms_text,Message,Bericht
876,plugin_sms_status,Status,Status
877,plugin_sms_created,Date/Time sent,Datum/tijd verzenden
878,plugin_sms_api,API Key,API-sleutel
879,error_titles_ARRAY_PSS01,SMS,SMS
880,error_bodies_ARRAY_PSS01,"To send SMS you need a valid API Key from <a href=""https://clicksend.com/?u=366773"" target=""_blank"">ClickSend</a>. If you have one, enter it in the box below.","Om sms'jes te versturen, heb je een geldige API-sleutel van <a href=""https://clicksend.com/?u=366773"" target=""_blank"">ClickSend</a> nodig. Als je er een hebt, voer deze dan in het onderstaande vak in."
881,error_titles_ARRAY_PSS02,SMS API key updated!,De API-sleutel voor sms is bijgewerkt!
882,error_bodies_ARRAY_PSS02,All changes have been saved.,Alle wijzigingen zijn opgeslagen.
883,plugin_sms_reset_search,Reset search,Zoekopdracht opnieuw instellen
884,plugin_sms_api_username,SMS API Username,SMS API-gebruikersnaam
885,plugin_sms_api_key,SMS API Key,SMS API-sleutel
886,plugin_sms_statuses_ARRAY_SUCCESS,Message sent,Bericht verzonden
887,plugin_sms_statuses_ARRAY_MISSING_CREDENTIALS,Not enough information has been supplied for authentication. Please ensure that your Username and Unique Key are supplied in your request.,138 Er is onvoldoende informatie verstrekt voor authenticatie. Zorg ervoor dat u uw gebruikersnaam en unieke sleutel in uw aanvraag vermeldt. 
888,plugin_sms_statuses_ARRAY_ACCOUNT_NOT_ACTIVATED,Your account has not been activated.,Je account is nog niet geactiveerd.
889,plugin_sms_statuses_ARRAY_INVALID_RECIPIENT,The destination mobile number is invalid.,Het mobiele nummer van de bestemming is ongeldig.
890,plugin_sms_statuses_ARRAY_THROTTLED,Identical message body recently sent to the same recipient. Please try again in a few seconds.,Een identiek bericht is onlangs naar dezelfde ontvanger verzonden. Probeer het over een paar seconden opnieuw.
891,plugin_sms_statuses_ARRAY_INVALID_SENDER_ID,"Invalid Sender ID. Please ensure Sender ID is no longer than 11 characters (if alphanumeric), and contains no spaces.",Ongeldige afzender-ID. Zorg ervoor dat de afzender-ID niet langer is dan 11 tekens (indien alfanumeriek) en geen spaties bevat.
892,plugin_sms_statuses_ARRAY_INSUFFICIENT_CREDIT,You have reached the end of your message credits. You will need to purchase more message credits.,Je hebt je berichtentegoed opgebruikt. Je moet nieuw berichtentegoed kopen.
893,plugin_sms_statuses_ARRAY_INVALID_CREDENTIALS,Your Username or Unique Key is incorrect.,Uw gebruikersnaam of unieke sleutel is onjuist.
894,plugin_sms_statuses_ARRAY_ALREADY_EXISTS,The resource you're trying to add already exists.,"De bron die u probeert toe te voegen, bestaat al."
895,plugin_sms_statuses_ARRAY_EMPTY_MESSAGE,Message is empty.,Het bericht is leeg.
896,plugin_sms_statuses_ARRAY_TOO_MANY_RECIPIENTS,Too many recipients.,Te veel ontvangers.
897,plugin_sms_statuses_ARRAY_MISSING_REQUIRED_FIELDS,Some required fields are missing.,Sommige verplichte velden ontbreken.
898,plugin_sms_statuses_ARRAY_INVALID_SCHEDULE,The schedule specified is invalid. Use a unix timestamp e.g. 1429170372.,"Het opgegeven schema is ongeldig. Gebruik een Unix-tijdstempel, bijvoorbeeld 1429170372."
899,plugin_sms_statuses_NOT_ENOUGH_PERMISSION_TO_LIST_ID,Don't have enough privilege to access or send to a list_id.,Ik heb onvoldoende rechten om toegang te krijgen tot een lijst-ID of er berichten naar te verzenden.
900,plugin_sms_statuses_ARRAY_INTERNAL_ERROR,Internal error.,Interne fout.
901,plugin_sms_statuses_ARRAY_INVALID_LANG,An invalid language option has been provided.,Er is een ongeldige taaloptie opgegeven.
902,plugin_sms_statuses_ARRAY_INVALID_VOICE,An invalid voice (gender) option has been provided.,Er is een ongeldige stemoptie (geslacht) opgegeven.
903,plugin_sms_statuses_ARRAY_SUBJECT_REQUIRED,Usually happens when MMS Subject is empty.,Dit gebeurt meestal wanneer het onderwerp van het MMS-bericht leeg is.
904,plugin_sms_statuses_ARRAY_INVALID_MEDIA_FILE,Usually MMS media file is invalid file.,MMS-mediabestanden zijn doorgaans ongeldig.
905,plugin_sms_statuses_ARRAY_SOMETHING_IS_WRONG,Generic Error happened.,Er is een algemene fout opgetreden.
